service_id,date,exception_type
20191225,20191225,1
20191224,20191224,1
20191213,20191213,1
20191203,20191203,1
20191118,20191118,1
20191229,20191229,1
20191228,20191228,1
20191218,20191218,1
20191208,20191208,1
20191120,20191120,1
20191223,20191223,1
20191222,20191222,1
20191215,20191215,1
20191214,20191214,1
20191206,20191206,1
20191130,20191130,1
20191121,20191121,1
20200101,20200101,1
20191231,20191231,1
20191221,20191221,1
20191209,20191209,1
20191126,20191126,1
20191211,20191211,1
20191210,20191210,1
20191207,20191207,1
20191201,20191201,1
20191125,20191125,1
20191230,20191230,1
20191122,20191122,1
20191220,20191220,1
20191219,20191219,1
20191204,20191204,1
20191129,20191129,1
20191123,20191123,1
20191119,20191119,1
20200103,20200103,1
20200102,20200102,1
20191217,20191217,1
20191216,20191216,1
20191205,20191205,1
20191128,20191128,1
20191124,20191124,1
20191227,20191227,1
20191226,20191226,1
20191212,20191212,1
20191202,20191202,1
20191127,20191127,1
